"","start","end","country","actual_rainfall","freight_trucking_employees_ny_seas_adj_Lag6","median_sales_price_of_houses_sold_in_the_us_Lag3","working_age_population_males_55_65_seas_adj_Lag6","single_family_mortgage_delinq_rate_not_seas_adj_Lag6","daily_hospitalizations_by_state_healthdata_Lag3","disposable_income_Lag6","corporate_profits_after_tax_wout_iva_ccadj_Lag3","cumulative_hospitalizations_by_state_healthdata_Lag3","gross_domestic_product_implicit_price_deflator_Lag3","total_public_debt_as_percent_of_gdp_Lag6","total_nonfarm_employees_seas_adj_Lag6","total_public_debt_Lag6","m1_money_stock_m1sl_seasonally_adjusted_Lag5","truck_transportation_employees_seas_adj_Lag6","m1_money_stock_wm1ns_not_seasonally_adjusted_Lag5","manufacturing_employees_seas_adj_Lag6","gdp_total_us_seas_adj_annual_rate_Lag6","unemployment_rate_us_civilians_seas_adj_Lag6","manufacturing_employee_avg_hours_nonsupervisory_Lag6","value"
"1",2020-03-01,2020-03-31,"United States of America","2.96593058235602050000","24.70299165468080000000","327100.00000000000000000000","20303893.01631720000000000000","2.42000000000000000000",NA,"14933.60000000000000000000","2000.73600000000000000000",NA,"112.95000000000000000000","105.47381000000000000000","151329.00000000000000000000","22719402.00000000000000000000","3935.30000000000000000000","1523.20000000000000000000","3912.84838709677419354839","12814.00000000000000000000","21540.32500000000000000000","3.50000000000000000000","41.50000000000000000000","416000.00000000000000000000"
"2",2020-04-01,2020-04-30,"United States of America","3.24220770433486700000","24.68702076492510000000","329000.00000000000000000000","20340633.70770600000000000000","2.38000000000000000000","6.18207779427948100000","14936.20000000000000000000","1739.10300000000000000000","18.54623338283844400000","113.41500000000000000000","106.68579000000000000000","151524.00000000000000000000","23201380.00000000000000000000","3955.30000000000000000000","1524.60000000000000000000","3929.55666666666666666667","12769.00000000000000000000","21747.39400000000000000000","3.60000000000000000000","41.40000000000000000000","373000.00000000000000000000"
"3",2020-05-01,2020-05-31,"United States of America","3.29422572959165700000","24.86396498475520300000","329000.00000000000000000000","20340633.70770600000000000000","2.38000000000000000000","0.00000000000000000000","14997.20000000000000000000","1739.10300000000000000000","0.00000000000000000000","113.41500000000000000000","106.68579000000000000000","151758.00000000000000000000","23201380.00000000000000000000","4007.10000000000000000000","1525.00000000000000000000","4018.49677419354838709677","12818.00000000000000000000","21747.39400000000000000000","3.60000000000000000000","41.40000000000000000000","372000.00000000000000000000"
"4",2020-06-01,2020-06-30,"United States of America","2.82683769154645800000","24.88686552933280000000","329000.00000000000000000000","20340633.70770600000000000000","2.38000000000000000000","0.09220322007577383000","14960.20000000000000000000","1739.10300000000000000000","0.45662547085145133000","113.41500000000000000000","106.68579000000000000000","151919.00000000000000000000","23201380.00000000000000000000","3993.60000000000000000000","1521.40000000000000000000","4000.34516129032258064516","12809.00000000000000000000","21747.39400000000000000000","3.60000000000000000000","41.40000000000000000000","507000.00000000000000000000"
"5",2020-07-01,2020-07-31,"United States of America","3.26753907730802770000","25.31098123668960000000","322600.00000000000000000000","20308316.22902770000000000000","2.37000000000000000000","24.12749727159613000000","15070.20000000000000000000","1557.06400000000000000000","334.24135983568520000000","112.81700000000000000000","107.71144000000000000000","152234.00000000000000000000","23223813.00000000000000000000","4002.90000000000000000000","1522.80000000000000000000","3957.94137931034482758621","12792.00000000000000000000","21561.13900000000000000000","3.50000000000000000000","41.40000000000000000000","342000.00000000000000000000"
"6",2020-08-01,2020-08-31,"United States of America","3.22719894073313940000","25.29349484643330000000","322600.00000000000000000000","20308316.22902770000000000000","2.37000000000000000000","30.83291246602521300000","15162.60000000000000000000","1557.06400000000000000000","1297.39671288048540000000","112.81700000000000000000","107.71144000000000000000","152523.00000000000000000000","23223813.00000000000000000000","4261.90000000000000000000","1524.80000000000000000000","4153.60645161290322580645","12799.00000000000000000000","21561.13900000000000000000","3.50000000000000000000","41.70000000000000000000","424000.00000000000000000000"
"7",2020-09-01,2020-09-30,"United States of America","3.41741553103752500000","25.44473350283250000000","322600.00000000000000000000","20308316.22902770000000000000","2.37000000000000000000","23.47388619919801000000","14949.30000000000000000000","1557.06400000000000000000","1916.29514547959070000000","112.81700000000000000000","107.71144000000000000000","150840.00000000000000000000","23223813.00000000000000000000","4779.80000000000000000000","1516.20000000000000000000","4772.56666666666666666667","12718.00000000000000000000","21561.13900000000000000000","4.40000000000000000000","41.30000000000000000000","245000.00000000000000000000"
"8",2020-10-01,2020-10-31,"United States of America","2.94206067463389550000","22.27004983149140000000","337500.00000000000000000000","20392207.46374020000000000000","2.47000000000000000000","4482.27477115872900000000","17287.10000000000000000000","2118.85600000000000000000","41346.84635971801000000000","113.84000000000000000000","135.64081000000000000000","130161.00000000000000000000","26477241.00000000000000000000","16232.90000000000000000000","1428.40000000000000000000","15040.80322580645161290323","11414.00000000000000000000","19520.11400000000000000000","14.80000000000000000000","38.50000000000000000000","611000.00000000000000000000"
